demo,map,round_number,tick_number,time_remaining,ct_score,t_score,ct_alive,ct_total_hp,ct_money,ct_equip_val,ct_rifle_count,ct_awp_alive,ct_pistol_only,ct_smokes,ct_mollies,ct_flashes,ct_nades,ct_any_blinded,ct_any_scoped,ct_any_defusing,ct_has_kit,ct_in_bombsite_a,ct_in_bombsite_b,t_alive,t_total_hp,t_money,t_equip_val,t_rifle_count,t_awp_alive,t_pistol_only,t_smokes,t_mollies,t_flashes,t_nades,t_any_blinded,t_any_scoped,t_any_planting,t_in_bombsite_a,t_in_bombsite_b,t_bomb_carrier_alive,bomb_planted,bomb_site,time_since_plant,ct_win
parivision-vs-g2-m1-mirage,de_mirage,0,1728,64.66,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1744,64.41,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1760,64.16,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1776,63.91,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1792,63.66,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1808,63.41,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1824,63.16,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1840,62.91,0,0,5,500,650,1000,0,0,4,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1856,62.66,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1872,62.41,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1888,62.16,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1904,61.91,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1920,61.66,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1936,61.41,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1952,61.16,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1968,60.91,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1984,60.66,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,2000,60.41,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,2016,60.16,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,2032,59.91,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,2048,59.66,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,2064,59.41,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,2080,59.16,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,2096,58.91,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,2112,58.66,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,2128,58.41,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,2144,58.16,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,2160,57.91,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,2176,57.66,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,2192,57.41,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,2208,57.16,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,2224,56.91,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,2240,56.66,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,2256,56.41,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,2272,56.16,0,0,5,500,650,1000,0,0,4,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
